"tbl_dt","cnt","msisdn_distinct","DEPOSIT_QTY","DEPOSIT_AMT","mom_withdrawal_qty","mom_withdrawal_amt","mom_bill_payment_qty","mom_bill_payment_amt","mom_send_qty","mom_send_amt","mom_received_qty","mom_received_amt","mom_bank_transfer_qty","mom_bank_transfer_amt","gsm_nau_amt","gsm_dab_qty","gsm_la_days_qty","gsm_active_days_qty","gsm_nta_amt","gsm_out_calls_qty","gsm_uniq_out_bnum_qty","gsm_in_calls_qty","GSM_ACTIVE_DAYS_QTY","gsm_uniq_in_anum_qty","gsm_dat_vol_amt","gsm_me2u_received_qty","gsm_me2u_received_amt"
20200301,17719253,17572167,1496861,71510800348,1180364,69151695195,636035,11038468266.8,378034,49117790582.69999,381157,49488520432.700005,5671,2358303241,4384862.720132004,2942905,23762806761,6510353,4100480546,,,,6510353,,142615144.16140747,98254,124466000.56269999
20200302,17791015,17586641,1689445,129275710172,1202514,114802567177.5,658961,14836330393,462244,122392564675.37001,466548,123010561470.37003,9496,4588125884,3557889.948003002,3037952,23800652497,6545982,4537981758,,,,6545982,,133573029.31140518,96105,138715758.643
20200303,17803349,17601390,1660892,120823335983,1179649,138887064675.75,666637,14293711982.5,458378,109912538778.96,463072,110473099136.95999,9132,4262365025,1173438621.092268,2995566,23827692603,6501168,4474631915,38230131,23338350,36229907,6501168,21991502,137570588.94007587,95528,141565762.5
20200304,17811757,17614287,1600139,112227798299,1150939,101948747616.85,637172,13186267333.32,447566,105496900741.29001,451760,105937400562.29001,8699,3934576859,1141125844.0427485,2896742,23821196800,6435103,4379617145,37142664,22755747,35210953,6435103,21449542,147151466.39061165,94024,134372268
20200305,17825164,17627788,1576389,116578248632,1193793,99603360629.9,623543,13081834021,455444,109639389848.71002,459891,110044588342.71002,8707,4210067492,1163244546.6569736,2937453,23810609478,6452081,4279000956,37643800,23070983,35660898,6452081,21729968,151249973.96221352,96511,134550030.4
20200306,17844147,17643191,1601800,128063698119,1214891,114744098401,629600,12863633671,476371,109571504295.68001,481481,110221750001.16,8633,4111783055,1174587936.728263,3030943,23829806340,6534057,4394298609,38939294,23739597,36892031,6534057,22360089,155811921.5144577,102198,141557569.224
20200307,17860184,17657278,1629183,100794926911,1262251,90576155301.5,627793,12255890510.4,458343,101151331677.75,463245,101572019738.75,7280,3423057458,1156431821.3762918,3018560,23840591879,6593063,4300034805,39040166,23591698,36975779,6593063,22219467,152122354.88215256,100554,130541192.9
20200308,17865176,17666137,1437800,63070398589,1204614,66984990935.5,594982,9749061358.7,378431,44519122814.11,381708,44948628100.11,5574,2382369689,1096708877.1354523,2930803,23780734091,6575000,4059827209,37270260,22499996,35339210,6575000,21220854,150691031.44465733,98271,117733352.52999999
20200309,17879750,17679813,1527065,107568681801,1126479,100686803332.73001,607090,12547553984.2,420497,115187331006.11998,424321,115546257646.09999,8378,4129846324,1141327766.2379727,2907463,23769466853,6472580,4237104348,37387685,22859222,35420469,6472580,21527164,136653403.68441677,94502,126323174
20200310,17890676,17692194,1590951,105663461237,1181153,113557975113,620526,12687958541,435105,107675171074.12001,440031,108080659760.12,8800,4016154751,1153189407.394608,2959580,23745813843,6440305,4309072542,37970402,23243965,35989935,6440305,21902370,133398769.46072674,94954,128717595.64
20200311,17900696,17705716,1529448,106498417731.89,1139457,140750779793.3,619982,12222735970.6,434223,106226838250.77998,438731,106428883610.78,8410,4019272710,1115393417.8999834,2873456,23741010646,6392133,4182236931,36905569,22674213,35003491,6392133,21382089,149696762.85340977,89798,120764093.46700001
20200312,17916727,17719361,1500051,100957568472,1141899,111890628525.5,608916,11544852378,432427,102773151258.39998,437012,103134597581.97,7726,3541783020,1128527365.0046883,2897264,23738539651,6395586,4174119609,37061161,22747213,35135882,6395586,21441072,152214304.51600456,91111,118548470
20200313,17930376,17732509,1501360,112361123872,1167066,85672039702,607208,11685766072.3,448927,109670938779.96,453508,110241241482.96002,8139,4054466107,1133697968.9435582,2946448,23765803004,6433838,4200647228,37561551,23006023,35603190,6433838,21682979,151876265.54695415,91518,120106661
20200314,17944239,17745020,1532824,91100219995,1241340,86180294304,599074,11137381943.43,445468,96914388260.1,450279,97423643137.09999,7092,3322917688,1130384989.6140351,2981787,23778759081,6507705,4195849005,38103959,23076267,36106361,6507705,21749369,149159954.53047562,94088,115594839.2
20200315,17956468,17753738,1391319,64226776819,1186531,65228950481,576820,9321926557.939999,358392,44297005405.409996,361991,44569931881.409996,5349,2217278986,1110890531.7551093,2968410,23744983997,6543485,4055740482,36777896,22264704,34878027,6543485,21005889,145615418.45861626,96317,111983533.2
20200316,17971555,17767096,1475995,102080194889,1108594,104457807912,608468,11970898580.07,408555,114080079716.93001,412291,114446150141.56999,8287,4068068005,1125614835.7535825,2897974,23772157493,6429074,4213633968,36458463,22324141,34585453,6429074,21054478,143746691.38439178,88935,114415821.7
20200317,17985276,17780605,1510591,104114328764,1149295,94127169347.2,605991,11794423257.04,434391,103341578665.80002,438846,103674876342.8,8404,3834920770,3784069.2767790025,2913184,23790750079,6392089,4184390415,,,,6392089,,147419950.32343864,88454,111325096.1
20200318,17998644,17792819,1481842,100695647382,1108103,86769231690.5,629474,11324145063.2,409558,99247951630.87,414197,99740853682.5,7370,3619903617,3209374.8600039994,2924138,23811733910,6414474,4308456088,,,,6414474,,155208314.50507736,86867,116819452.5
20200319,18017597,17806368,1772805,104484178332,1319504,132471520529,639162,10716739972,497420,105427713082.36,502057,105838117253.36,7119,3411890442,2997004.3633350004,3256720,23831952418,6692313,4627753449,,,,6692313,,167634606.35997677,96511,125061653.8222
20200320,17981731,17821289,1731488,114258803528,1393387,202939146260,655087,11323843513,520791,112319082518.16002,526264,112920600546.16002,7394,3590954864,2514805.074151001,3274772,23840725340,6822131,4636141903,,,,6822131,,175755723.28775597,101594,134045114.676
20200321,17988066,17833781,1513786,87631148862,1147923,78730289449,639370,10374451322.1,429160,94889520140.91,433089,95326040825.91,6653,3292393526,2275866.866670999,3035663,23839357841,6661816,4352997625,,,,6661816,,172317926.66312218,99280,121710539.6
20200322,18048718,17842735,1362531,57362668760,1057756,59388167840,653191,8448952603,357751,43348376640.25,361088,43745928046.25,4226,1881271808,1133717372.1470578,3129978,23825545777,6678995,4437742517,38207848,23262157,36306634,6678995,22006773,173315899.36114407,104665,119173141.4
20200323,18006940,17854946,1445938,94840935087,1052522,100980598191,636470,10400499272,425246,113696384955.66998,429432,114285977183.67001,6768,3619795962,1773673.4733360005,2913615,23831764981,6364245,4346084152,,,,6364245,,174769357.7566166,98844,125657416
